Unable to find working sequences for clonotypes: 
>clonotype2051_consensus_1: Could not find Primer Overlap that worked
>clonotype2065_consensus_1: Could not find Primer Overlap that worked
>clonotype2090_consensus_1: Could not find Primer Overlap that worked
>clonotype2092_consensus_1: Could not find Primer Overlap that worked
>clonotype2103_consensus_1: Could not find Primer Overlap that worked
>clonotype2105_consensus_1: Could not find Primer Overlap that worked
>clonotype2106_consensus_1: Could not find Primer Overlap that worked
>clonotype2150_consensus_1: Could not find Primer Overlap that worked
>clonotype2184_consensus_1: Could not find Primer Overlap that worked
>clonotype2210_consensus_2: Could not find Primer Overlap that worked
>clonotype2212_consensus_1: Could not find Primer Overlap that worked
>clonotype2222_consensus_2: Could not find Primer Overlap that worked
>clonotype2239_consensus_2: Could not find TRBV Overlap Primer that worked
>clonotype2252_consensus_1: Could not find Primer Overlap that worked
>clonotype2281_consensus_1: Could not find Primer Overlap that worked
>clonotype2285_consensus_1: Could not find Primer Overlap that worked
>clonotype2293_consensus_1: Could not find Primer Overlap that worked
>clonotype2303_consensus_1: Could not find Primer Overlap that worked
>clonotype2304_consensus_1: Could not find Primer Overlap that worked
>clonotype2313_consensus_1: Could not find Primer Overlap that worked
>clonotype2325_consensus_1: Could not find Primer Overlap that worked
>clonotype2330_consensus_1: Could not find Primer Overlap that worked
>clonotype2337_consensus_1: Could not find Primer Overlap that worked
>clonotype2340_consensus_2: Could not find Primer Overlap that worked
>clonotype2352_consensus_1: Could not find Primer Overlap that worked
>clonotype2372_consensus_1: Could not find Primer Overlap that worked
>clonotype2383_consensus_2: Could not find Primer Overlap that worked
>clonotype2397_consensus_1: Could not find Primer Overlap that worked
>clonotype2399_consensus_1: Could not find Primer Overlap that worked
>clonotype2399_consensus_2: Could not find TRBV Overlap Primer that worked
>clonotype2406_consensus_1: Could not find Primer Overlap that worked
>clonotype2447_consensus_2: Could not find TRBV Overlap Primer that worked
>clonotype2452_consensus_1: Could not find Primer Overlap that worked
>clonotype2456_consensus_1: Could not find Primer Overlap that worked
>clonotype2467_consensus_1: Could not find Primer Overlap that worked
>clonotype2480_consensus_1: Could not find Primer Overlap that worked
>clonotype2481_consensus_1: Could not find Primer Overlap that worked
>clonotype2497_consensus_1: Could not find Primer Overlap that worked
>clonotype2517_consensus_1: Could not find Primer Overlap that worked
>clonotype2526_consensus_2: Could not find TRBV Overlap Primer that worked
>clonotype2548_consensus_2: Could not find Primer Overlap that worked
>clonotype2554_consensus_1: Could not find Primer Overlap that worked
>clonotype2555_consensus_1: Could not find Primer Overlap that worked
>clonotype2572_consensus_2: Could not find TRBV Overlap Primer that worked
>clonotype2573_consensus_1: Could not find Primer Overlap that worked
>clonotype2590_consensus_2: Could not find TRBV Overlap Primer that worked
>clonotype2598_consensus_1: Could not find Primer Overlap that worked
>clonotype2603_consensus_1: Could not find Primer Overlap that worked
>clonotype2610_consensus_1: Could not find Primer Overlap that worked
>clonotype2715_consensus_1: Could not find Primer Overlap that worked
>clonotype2743_consensus_1: Could not find Primer Overlap that worked
>clonotype2759_consensus_1: Could not find Primer Overlap that worked
>clonotype2773_consensus_1: Could not find Primer Overlap that worked
>clonotype2804_consensus_1: Could not find Primer Overlap that worked
>clonotype2816_consensus_1: Could not find Primer Overlap that worked
>clonotype2817_consensus_1: Could not find Primer Overlap that worked
>clonotype2818_consensus_1: Could not find Primer Overlap that worked
>clonotype2853_consensus_2: Could not find Primer Overlap that worked
>clonotype2860_consensus_1: Could not find Primer Overlap that worked
>clonotype2873_consensus_1: Could not find Primer Overlap that worked
>clonotype2874_consensus_1: Could not find Primer Overlap that worked
>clonotype2890_consensus_2: Could not find Primer Overlap that worked
>clonotype2927_consensus_2: Could not find Primer Overlap that worked
>clonotype2945_consensus_1: Could not find Primer Overlap that worked
>clonotype2947_consensus_1: Could not find Primer Overlap that worked
>clonotype2948_consensus_1: Could not find Primer Overlap that worked
>clonotype2959_consensus_2: Could not find Primer Overlap that worked
>clonotype2970_consensus_1: Could not find Primer Overlap that worked
>clonotype2975_consensus_1: Could not find Primer Overlap that worked
>clonotype2986_consensus_2: Could not find Primer Overlap that worked
>clonotype2987_consensus_2: Could not find Primer Overlap that worked
>clonotype2997_consensus_1: Could not find Primer Overlap that worked
>clonotype3005_consensus_2: Could not find Primer Overlap that worked
>clonotype3022_consensus_1: Could not find Primer Overlap that worked
>clonotype3024_consensus_1: Could not find Primer Overlap that worked
>clonotype3042_consensus_1: Could not find Primer Overlap that worked
>clonotype3076_consensus_1: Could not find Primer Overlap that worked
>clonotype3105_consensus_2: Could not find Primer Overlap that worked
>clonotype3111_consensus_1: Could not find Primer Overlap that worked
>clonotype3129_consensus_2: Could not find TRBV Overlap Primer that worked
>clonotype3145_consensus_2: Could not find Primer Overlap that worked
>clonotype3155_consensus_1: Could not find Primer Overlap that worked
>clonotype3166_consensus_1: Could not find Primer Overlap that worked
>clonotype3171_consensus_1: Could not find Primer Overlap that worked
>clonotype3174_consensus_1: Could not find Primer Overlap that worked
>clonotype3219_consensus_2: Could not find TRBV Overlap Primer that worked
>clonotype3231_consensus_2: Could not find TRBV Overlap Primer that worked
>clonotype3243_consensus_2: Could not find TRBV Overlap Primer that worked
>clonotype3254_consensus_1: Could not find Primer Overlap that worked
>clonotype3255_consensus_1: Could not find Primer Overlap that worked
>clonotype3259_consensus_1: Could not find Primer Overlap that worked
>clonotype3270_consensus_1: Could not find Primer Overlap that worked
>clonotype3292_consensus_1: Could not find Primer Overlap that worked
>clonotype3293_consensus_1: Could not find Primer Overlap that worked
>clonotype3315_consensus_2: Could not find Primer Overlap that worked
>clonotype3324_consensus_2: Could not find Primer Overlap that worked
>clonotype3332_consensus_1: Could not find Primer Overlap that worked
>clonotype3336_consensus_1: Could not find Primer Overlap that worked
>clonotype3339_consensus_1: Could not find Primer Overlap that worked
>clonotype3345_consensus_2: Could not find TRBV Overlap Primer that worked
>clonotype3381_consensus_1: Could not find Primer Overlap that worked
>clonotype3385_consensus_1: Could not find Primer Overlap that worked
>clonotype3414_consensus_1: Could not find Primer Overlap that worked
>clonotype3422_consensus_1: Could not find Primer Overlap that worked
>clonotype3428_consensus_1: Could not find Primer Overlap that worked
>clonotype3455_consensus_1: Could not find Primer Overlap that worked
>clonotype3460_consensus_1: Could not find Primer Overlap that worked
>clonotype3465_consensus_1: Could not find Primer Overlap that worked
>clonotype3495_consensus_2: Could not find Primer Overlap that worked
>clonotype3504_consensus_1: Could not find Primer Overlap that worked
>clonotype3514_consensus_1: Could not find Primer Overlap that worked
>clonotype3516_consensus_1: Could not find Primer Overlap that worked
>clonotype3519_consensus_1: Could not find TRBV Overlap Primer that worked
>clonotype3520_consensus_1: Could not find Primer Overlap that worked
>clonotype3523_consensus_1: Could not find Primer Overlap that worked
>clonotype3556_consensus_1: Could not find Primer Overlap that worked
>clonotype3588_consensus_1: Could not find Primer Overlap that worked
>clonotype3593_consensus_1: Could not find Primer Overlap that worked
>clonotype3621_consensus_1: Could not find Primer Overlap that worked
>clonotype3642_consensus_1: Could not find Primer Overlap that worked
>clonotype3643_consensus_1: Could not find Primer Overlap that worked
>clonotype3644_consensus_1: Could not find Primer Overlap that worked
>clonotype3645_consensus_1: Could not find Primer Overlap that worked
>clonotype3646_consensus_1: Could not find Primer Overlap that worked
>clonotype3647_consensus_1: Could not find Primer Overlap that worked
>clonotype3648_consensus_1: Could not find Primer Overlap that worked
>clonotype3649_consensus_1: Could not find Primer Overlap that worked
>clonotype3656_consensus_1: Could not find Primer Overlap that worked
>clonotype3690_consensus_1: Could not find Primer Overlap that worked
>clonotype3691_consensus_1: Could not find Primer Overlap that worked
>clonotype3692_consensus_1: Could not find Primer Overlap that worked
>clonotype3693_consensus_1: Could not find Primer Overlap that worked
>clonotype3694_consensus_1: Could not find Primer Overlap that worked
>clonotype3695_consensus_1: Could not find Primer Overlap that worked
>clonotype3696_consensus_1: Could not find Primer Overlap that worked
>clonotype3697_consensus_1: Could not find Primer Overlap that worked
>clonotype3698_consensus_1: Could not find Primer Overlap that worked
>clonotype3699_consensus_1: Could not find Primer Overlap that worked
>clonotype3700_consensus_1: Could not find Primer Overlap that worked
>clonotype3701_consensus_1: Could not find Primer Overlap that worked
>clonotype3702_consensus_1: Could not find Primer Overlap that worked
>clonotype3731_consensus_1: Could not find Primer Overlap that worked
>clonotype3763_consensus_2: Could not find Primer Overlap that worked
>clonotype3770_consensus_1: Could not find Primer Overlap that worked
>clonotype3776_consensus_2: Could not find Primer Overlap that worked
>clonotype3804_consensus_1: Could not find Primer Overlap that worked
>clonotype3805_consensus_1: Could not find Primer Overlap that worked
>clonotype3833_consensus_1: Could not find Primer Overlap that worked
>clonotype3834_consensus_2: Could not find Primer Overlap that worked
>clonotype3836_consensus_1: Could not find Primer Overlap that worked
>clonotype3839_consensus_1: Could not find Primer Overlap that worked
>clonotype3842_consensus_1: Could not find Primer Overlap that worked
>clonotype3854_consensus_1: Could not find Primer Overlap that worked
>clonotype3858_consensus_2: Could not find TRBV Overlap Primer that worked
>clonotype3868_consensus_1: Could not find Primer Overlap that worked
>clonotype3875_consensus_1: Could not find Primer Overlap that worked
>clonotype3878_consensus_2: Could not find Primer Overlap that worked
>clonotype3888_consensus_1: Could not find Primer Overlap that worked
>clonotype3889_consensus_2: Could not find TRBV Overlap Primer that worked
>clonotype3927_consensus_1: Could not find Primer Overlap that worked
>clonotype3942_consensus_1: Could not find Primer Overlap that worked
>clonotype3958_consensus_2: Could not find Primer Overlap that worked
>clonotype3959_consensus_1: Could not find Primer Overlap that worked
>clonotype3969_consensus_1: Could not find Primer Overlap that worked
>clonotype3970_consensus_1: Could not find Primer Overlap that worked
>clonotype3995_consensus_1: Could not find Primer Overlap that worked
>clonotype4002_consensus_1: Could not find Primer Overlap that worked
>clonotype4018_consensus_1: Could not find Primer Overlap that worked
>clonotype4019_consensus_1: Could not find Primer Overlap that worked
>clonotype4033_consensus_1: Could not find Primer Overlap that worked
